,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Lakewood,+NJ",,Lakewood,NJ,34,0,8,3,0,1,1,0,0,0,1,2,0,3,2,1,4,0,2,0,2,2,1,0,0,1,0,0
"Lakewood+Ranch,+FL",,Lakewood Ranch,FL,19,3,0,1,0,0,1,0,0,1,0,0,0,1,3,1,0,1,2,2,0,2,0,1,0,0,0,0
"Lambertville,+NJ",,Lambertville,NJ,108,2,22,4,1,14,4,1,2,0,3,9,0,11,12,2,4,1,2,3,0,2,2,4,2,1,0,0
"Lancaster,+NY",,Lancaster,NY,12,1,2,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Lancaster,+PA",,Lancaster,PA,12,1,4,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Land+O+Lakes,+FL",,Land O Lakes,FL,56,2,10,5,6,7,1,0,3,0,0,1,0,2,4,2,4,0,2,2,0,3,0,1,0,0,1,0
"Landover,+MD",,Landover,MD,360,9,86,21,101,11,11,1,8,5,4,9,0,2,32,7,20,4,3,6,3,5,6,0,2,3,1,0
"Langhorne,+PA",,Langhorne,PA,128,3,21,6,1,16,8,1,1,0,3,13,0,9,14,3,8,2,3,2,1,4,3,4,2,0,0,0
"Lanham,+MD",,Lanham,MD,336,8,75,21,95,11,10,1,8,4,4,9,0,2,31,6,20,4,3,6,3,5,6,0,0,3,1,0
"Lansdowne,+VA",,Lansdowne,VA,282,6,70,14,81,10,8,1,7,4,1,7,0,1,24,4,19,5,1,6,2,3,4,0,2,1,1,0
"Lansing,+MI",,Lansing,MI,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"lansing,+MI",,lansing,MI,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"Laramie,+WY",,Laramie,WY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Laredo,+TX",,Laredo,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Largo,+FL",,Largo,FL,60,1,10,6,6,7,1,0,3,1,0,1,0,2,6,1,4,0,3,3,0,2,0,2,0,0,1,0
"Larkspur,+CA",,Larkspur,CA,133,2,12,26,0,5,7,12,4,1,5,7,0,3,13,1,15,0,6,2,3,6,2,1,0,0,0,0
"las+vegas,+NV",,las vegas,NV,21,0,2,5,0,1,2,1,1,0,0,0,0,1,3,0,1,0,2,0,0,2,0,0,0,0,0,0
"Las+Vegas,+NV",,Las Vegas,NV,21,0,2,5,0,1,2,1,1,0,0,0,0,1,3,0,1,0,2,0,0,2,0,0,0,0,0,0
"Latham,+NY",,Latham,NY,16,0,3,1,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,2,1,0,0,0,0,0
"Laurel,+MD",,Laurel,MD,299,7,68,17,85,11,11,1,7,4,3,7,0,2,26,5,17,3,3,3,3,5,6,1,0,3,1,0
"lawrence,+MA",,lawrence,MA,147,5,26,17,2,14,6,4,3,1,2,6,0,4,14,2,16,4,4,4,1,4,3,1,2,2,0,0
"Lawrenceville,+GA",,Lawrenceville,GA,167,6,36,12,2,11,12,5,2,4,0,15,0,6,17,4,11,0,4,8,1,4,1,2,1,0,3,0
"Layton,+UT",,Layton,UT,46,3,0,4,1,2,6,2,1,0,1,1,0,4,4,2,4,0,4,1,0,5,0,0,0,0,1,0
"Le+Claire,+IA",,Le Claire,IA,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Leavenworth,+KS",,Leavenworth,KS,33,1,5,5,2,2,2,1,1,2,1,1,0,0,3,5,1,0,0,0,0,0,0,0,1,0,0,0
"Lebanon,+PA",,Lebanon,PA,18,2,4,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0
"leesburg,+VA",,leesburg,VA,233,4,61,13,68,8,8,1,5,3,1,6,0,1,14,2,17,4,1,6,2,2,2,0,2,1,1,0
"Leesburg,+VA",,Leesburg,VA,233,4,61,13,68,8,8,1,5,3,1,6,0,1,14,2,17,4,1,6,2,2,2,0,2,1,1,0
"Leesburg,+FL",,Leesburg,FL,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Lehi,+UT",,Lehi,UT,82,6,1,6,1,5,6,6,0,5,2,3,0,3,5,4,11,0,8,2,0,5,0,2,0,0,1,0
"Lemont,+IL",,Lemont,IL,215,8,40,25,0,12,10,11,5,4,5,11,0,15,19,10,10,1,5,5,3,9,2,1,0,2,2,0
"Lemont+Furnace,+PA",,Lemont Furnace,PA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lenexa,+KS",,Lenexa,KS,36,1,6,5,2,2,2,1,1,2,1,1,0,1,3,6,1,0,0,0,0,0,0,0,1,0,0,0
"Lewis+Center,+OH",,Lewis Center,OH,42,1,11,5,1,3,3,1,0,0,0,1,0,1,1,3,2,0,3,1,0,0,2,0,1,1,1,0
"Lewiston,+ME",,Lewiston,ME,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lewisville,+TX",,Lewisville,TX,147,8,28,6,0,8,14,5,5,3,0,5,0,9,17,1,7,5,6,5,0,6,5,1,3,0,0,0
"Lexington,+MA",,Lexington,MA,172,5,28,19,3,18,9,4,3,1,3,5,0,4,14,3,17,6,5,7,1,4,5,2,2,4,0,0
"Lexington,+SC",,Lexington,SC,9,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0
"Lexington,+KY",,Lexington,KY,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lexington+Park,+MD",,Lexington Park,MD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberty,+MO",,Liberty,MO,33,1,5,5,2,2,2,1,1,2,1,1,0,0,3,5,1,0,0,0,0,0,0,0,1,0,0,0
"Libertyville,+IL",,Libertyville,IL,108,7,17,6,0,7,3,5,1,0,3,4,0,11,9,6,4,1,5,3,1,5,1,1,1,2,5,0
"Lincoln,+NE",,Lincoln,NE,9,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0
"Lincolnshire,+IL",,Lincolnshire,IL,228,9,42,25,0,14,10,12,6,4,7,11,0,13,19,9,12,1,6,6,3,8,2,1,1,2,5,0
"Lincolnwood,+IL",,Lincolnwood,IL,233,9,45,25,0,15,10,10,6,4,7,10,0,14,22,10,13,1,6,6,2,9,2,1,0,2,4,0
"Linden,+NJ",,Linden,NJ,310,5,59,53,1,17,14,7,2,1,11,16,0,4,27,4,18,6,16,9,13,14,3,3,2,4,1,0
"Lindenhurst,+NY",,Lindenhurst,NY,64,3,6,7,0,4,2,4,1,3,2,0,0,2,3,4,3,3,5,2,3,6,0,1,0,0,0,0
"Lindon,+UT",,Lindon,UT,51,4,1,3,0,3,2,4,0,5,2,2,0,1,3,2,7,0,5,2,0,3,0,2,0,0,0,0
"Lisle,+IL",,Lisle,IL,241,9,45,28,0,13,10,12,6,4,7,11,0,17,23,10,12,1,6,6,3,9,2,1,1,2,3,0
"Lititz,+PA",,Lititz,PA,13,2,4,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Little+Chute,+WI",,Little Chute,WI,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Little+Falls,+NJ",,Little Falls,NJ,302,5,54,56,1,18,14,7,2,1,13,14,0,5,30,3,15,6,13,9,11,12,3,4,2,3,1,0
"Little+Ferry,+NJ",,Little Ferry,NJ,301,5,47,58,1,18,14,8,3,2,12,13,0,6,30,3,16,6,14,10,14,13,2,1,1,3,1,0
"Little+Rock,+AR",,Little Rock,AR,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Littleton,+MA",,Littleton,MA,153,5,26,16,3,17,6,3,3,1,3,7,0,4,11,2,16,5,4,4,1,4,5,1,3,3,0,0
"Littleton,+CO",,Littleton,CO,96,5,13,11,0,6,2,6,1,1,1,6,0,1,14,0,10,3,1,3,0,7,0,0,0,2,3,0
"Livermore,+CA",,Livermore,CA,128,2,34,12,0,3,8,4,0,2,4,3,0,4,13,2,12,0,5,5,0,0,5,0,3,1,6,0
"Livingston,+NJ",,Livingston,NJ,293,5,50,53,1,16,13,7,2,1,11,14,0,5,29,4,18,6,13,9,11,12,3,4,2,3,1,0
"Livonia,+MI",,Livonia,MI,87,3,17,7,1,4,9,3,1,0,2,7,0,3,8,2,4,0,1,3,1,5,1,0,2,3,0,0
"Lockbourne,+OH",,Lockbourne,OH,41,1,11,5,1,3,3,1,0,0,0,1,0,1,1,3,2,0,2,1,0,0,2,0,1,1,1,0
"Logan,+UT",,Logan,UT,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lombard,+IL",,Lombard,IL,244,9,46,27,0,14,10,12,6,4,7,11,0,17,23,10,13,1,6,6,3,9,2,1,1,2,4,0
"Lone+Tree,+CO",,Lone Tree,CO,92,5,13,11,0,6,2,6,0,1,1,6,0,1,12,0,10,3,1,3,0,7,0,0,0,2,2,0
"long+beach,+CA",,long beach,CA,217,4,19,34,2,9,15,5,5,4,1,6,0,4,27,7,13,4,13,8,9,15,2,3,1,3,4,0
"Long+Beach,+CA",,Long Beach,CA,217,4,19,34,2,9,15,5,5,4,1,6,0,4,27,7,13,4,13,8,9,15,2,3,1,3,4,0
"Long+Grove,+IL",,Long Grove,IL,240,9,46,25,0,15,10,12,6,4,7,11,0,16,21,9,13,1,6,6,3,9,2,1,1,2,5,0
"Long+Island+City,+NY",,Long Island City,NY,317,5,54,59,1,18,14,7,3,3,14,14,0,6,30,5,17,7,14,10,13,13,3,2,1,3,1,0
"Longmont,+CO",,Longmont,CO,45,1,1,5,1,2,0,7,1,0,0,1,0,1,6,0,6,0,1,1,0,3,3,1,1,2,1,0
"Longview,+WA",,Longview,WA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Longwood,+FL",,Longwood,FL,32,3,2,4,1,3,1,0,0,1,0,1,0,0,3,0,6,1,3,1,0,0,0,0,0,2,0,0
"Loomis,+CA",,Loomis,CA,17,0,3,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,1,1,0
"Lorain,+OH",,Lorain,OH,41,1,5,2,1,5,2,0,2,0,0,3,0,3,10,1,1,0,1,0,2,0,0,1,0,1,0,0
"Lorton,+VA",,Lorton,VA,300,6,77,14,90,9,9,1,8,5,2,6,0,1,24,6,18,4,2,6,2,3,4,0,2,0,1,0
"Los+Angeles,+CA",,Los Angeles,CA,174,2,16,27,1,7,10,5,3,3,1,2,0,5,19,6,12,4,14,7,8,12,1,2,1,3,3,0
"Los+Gatos,+CA",,Los Gatos,CA,97,2,28,10,0,3,6,1,0,2,3,2,0,2,7,0,11,0,5,4,0,0,2,0,2,2,5,0
"Louisville,+CO",,Louisville,CO,109,3,13,14,1,7,1,10,1,1,1,5,0,0,14,0,14,3,1,3,0,6,3,1,1,3,3,0
"Louisville,+KY",,Louisville,KY,23,0,4,3,0,2,2,1,0,0,0,0,1,1,2,1,1,1,1,1,0,2,0,0,0,0,0,0
"Loveland,+OH",,Loveland,OH,59,0,9,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,2,1,1,1,2,1,0,4,0,0
"Loveland,+CO",,Loveland,CO,34,0,0,4,1,1,0,5,1,0,0,1,0,1,4,0,6,0,1,0,0,2,3,1,1,1,1,0
"Lovettsville,+VA",,Lovettsville,VA,124,4,38,10,29,3,2,0,2,1,0,3,0,1,7,2,9,2,1,3,2,0,1,0,2,1,1,0
"Lowell,+MA",,Lowell,MA,159,5,27,18,3,17,6,4,3,1,3,7,0,4,14,2,16,4,4,4,1,5,5,1,2,3,0,0
"Lowell,+AR",,Lowell,AR,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lubbock,+TX",,Lubbock,TX,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lumberton,+NC",,Lumberton,NC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luray,+VA",,Luray,VA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lyndhurst,+NJ",,Lyndhurst,NJ,308,5,54,57,1,18,14,7,2,1,13,14,0,5,30,3,18,6,14,10,12,13,3,2,2,3,1,0
"Lynnwood,+WA",,Lynnwood,WA,108,0,14,12,0,10,5,2,5,0,0,1,0,3,23,2,10,0,6,2,0,5,3,1,0,3,1,0
"Lynwood,+CA",,Lynwood,CA,238,4,21,36,2,10,18,7,6,4,1,7,0,4,28,7,15,4,13,9,10,18,2,4,1,3,4,0
"Mableton,+GA",,Mableton,GA,175,6,37,11,1,14,13,5,5,4,0,16,0,6,15,7,12,0,5,7,2,4,1,2,0,0,2,0
"Machesney+Park,+IL",,Machesney Park,IL,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Macon,+GA",,Macon,GA,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Madison,+WI",,Madison,WI,12,0,2,0,0,3,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"Madison,+CT",,Madison,CT,16,1,1,1,1,1,1,2,0,0,1,0,0,1,2,0,2,0,1,0,0,0,0,1,0,0,0,0
"Madison,+SD",,Madison,SD,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madison+Heights,+MI",,Madison Heights,MI,82,3,18,7,1,4,7,3,1,0,2,7,0,2,8,2,3,0,1,3,1,3,1,0,2,3,0,0
"Mahwah,+NJ",,Mahwah,NJ,249,3,38,55,1,13,12,3,3,1,11,11,0,5,27,2,12,5,10,8,12,8,3,1,1,3,1,0
"Maitland,+FL",,Maitland,FL,32,3,2,4,1,3,1,0,0,1,0,1,0,0,3,0,6,1,3,1,0,0,0,0,0,2,0,0
"Malvern,+PA",,Malvern,PA,112,4,20,5,1,14,7,1,1,0,5,10,0,5,14,2,5,1,1,1,1,5,2,4,3,0,0,0
"Malvern,+AR",,Malvern,AR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manalapan,+NJ",,Manalapan,NJ,76,1,24,4,1,5,2,1,0,0,3,6,0,3,4,1,7,0,3,1,2,2,3,1,1,1,0,0
"Manassas,+VA",,Manassas,VA,295,6,72,12,92,9,9,1,8,4,2,6,0,1,24,6,18,5,2,6,2,3,4,0,2,0,1,0
"Manchester,+MO",,Manchester,MO,32,1,4,3,0,3,6,1,0,1,1,1,0,1,2,2,1,0,1,0,0,2,0,0,1,1,0,0
"Manchester,+NH",,Manchester,NH,23,0,5,0,0,3,1,1,0,0,1,3,0,0,1,2,2,0,0,1,0,0,1,0,1,1,0,0
"Manchester,+CT",,Manchester,CT,16,1,3,1,0,2,0,1,0,0,0,0,0,1,2,0,2,0,1,0,0,0,1,0,0,1,0,0
"Mandeville,+LA",,Mandeville,LA,11,1,2,2,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Manhattan,+KS",,Manhattan,KS,4,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manhattan+Beach,+CA",,Manhattan Beach,CA,170,1,15,27,1,8,9,5,2,3,2,1,0,4,18,6,12,4,14,5,8,15,1,2,1,3,3,0
"Manistee,+MI",,Manistee,MI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manitowoc,+WI",,Manitowoc,WI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mansfield,+MA",,Mansfield,MA,131,2,19,17,2,11,8,5,3,2,1,5,0,3,7,2,13,5,6,4,1,4,4,3,1,3,0,0
"Mansfield,+TX",,Mansfield,TX,80,5,12,2,1,4,8,4,0,1,0,4,0,5,12,0,5,2,5,1,0,5,3,0,1,0,0,0
"Maple+Grove,+MN",,Maple Grove,MN,76,4,17,8,0,7,3,0,1,1,0,3,0,2,8,2,6,0,5,2,0,2,4,0,0,1,0,0
"Maple+Lawn,+MD",,Maple Lawn,MD,328,9,75,19,92,11,11,1,7,4,3,8,0,1,30,6,20,4,3,5,3,5,5,1,1,3,1,0
"Margate,+FL",,Margate,FL,80,2,10,10,0,9,5,0,1,1,2,4,0,3,6,3,4,4,4,1,1,5,2,2,0,1,0,0
"Marietta,+GA",,Marietta,GA,180,6,40,11,1,14,13,5,5,4,0,16,0,7,17,6,12,0,5,7,2,4,1,2,0,0,2,0
"Marion,+IA",,Marion,IA,11,0,2,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0
"Marion,+IN",,Marion,IN,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Markle,+IN",,Markle,IN,7,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"Marlborough,+MA",,Marlborough,MA,148,5,23,17,3,15,7,4,3,1,2,4,0,3,10,2,17,6,4,6,1,4,4,2,2,3,0,0
"Marlow,+OK",,Marlow,OK,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marlton,+NJ",,Marlton,NJ,114,4,16,6,0,15,8,1,1,0,3,11,0,7,14,3,7,3,2,1,1,3,3,4,1,0,0,0
"Marriottsville,+MD",,Marriottsville,MD,120,6,23,9,25,9,3,0,3,2,3,3,0,1,11,2,4,1,2,1,1,4,3,1,0,3,0,0
"Mars,+PA",,Mars,PA,27,2,5,4,0,2,2,0,1,0,1,0,0,0,1,3,1,0,0,1,0,1,0,0,0,3,0,0
"Mary+Esther,+FL",,Mary Esther,FL,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mason,+OH",,Mason,OH,66,1,11,3,0,3,4,1,0,1,1,3,0,9,10,7,0,0,2,1,1,1,2,1,0,4,0,0
"Massapequa,+NY",,Massapequa,NY,247,3,33,52,0,12,12,7,3,3,12,10,0,5,20,3,9,7,13,8,14,13,1,2,1,3,1,0
"Matawan,+NJ",,Matawan,NJ,283,2,53,50,1,14,11,6,2,1,12,15,0,5,24,2,18,5,14,8,13,14,3,3,2,4,1,0
"Matthews,+NC",,Matthews,NC,49,4,9,1,0,5,5,2,0,1,0,6,0,4,5,1,3,1,0,0,0,1,0,1,0,0,0,0
"Mauldin,+SC",,Mauldin,SC,15,0,2,1,0,1,1,0,0,0,0,1,0,0,2,2,1,1,1,0,0,1,0,1,0,0,0,0
"McFarland,+WI",,McFarland,WI,13,0,2,0,0,3,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"McKeesport,+PA",,McKeesport,PA,26,2,5,4,0,2,2,0,1,0,1,0,0,0,1,3,1,0,0,1,0,1,0,0,0,2,0,0
"McKinney,+TX",,McKinney,TX,71,3,16,4,0,4,6,1,5,2,0,1,0,4,6,1,2,3,2,4,0,2,2,1,2,0,0,0
"McLean,+VA",,McLean,VA,341,9,84,17,102,10,10,1,8,5,4,8,0,1,27,6,19,5,2,7,2,4,5,0,2,2,1,0
"Mclean,+VA",,Mclean,VA,341,9,84,17,102,10,10,1,8,5,4,8,0,1,27,6,19,5,2,7,2,4,5,0,2,2,1,0
"Mebane,+NC",,Mebane,NC,22,1,3,3,0,2,2,1,0,0,1,1,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"Mechanicsburg,+PA",,Mechanicsburg,PA,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
"Medford,+NJ",,Medford,NJ,79,3,8,4,0,13,7,1,1,0,3,8,0,5,9,2,4,3,2,0,1,2,2,1,0,0,0,0
"Media,+PA",,Media,PA,125,4,21,6,1,16,9,1,1,0,5,12,0,6,14,3,7,2,1,1,1,5,2,4,3,0,0,0
"Medina,+OH",,Medina,OH,55,2,5,4,1,7,3,0,2,1,0,5,0,4,10,3,1,0,1,1,2,1,0,1,0,1,0,0
"Medina,+MN",,Medina,MN,75,4,17,8,0,7,3,0,1,1,0,3,0,2,8,1,6,0,5,2,0,2,4,0,0,1,0,0
"Medley,+FL",,Medley,FL,77,2,11,9,0,7,3,2,1,0,1,5,0,0,8,4,3,4,6,1,1,5,2,1,0,1,0,0
"Melbourne,+FL",,Melbourne,FL,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Melrose+Park,+IL",,Melrose Park,IL,243,9,46,27,0,14,10,12,6,4,7,11,0,17,23,10,13,1,6,6,3,9,2,1,0,2,4,0
"Melville,+NY",,Melville,NY,87,4,10,9,0,6,6,5,1,3,3,1,0,2,5,5,4,3,6,2,3,7,0,2,0,0,0,0
"Memphis,+TN",,Memphis,TN,14,0,0,2,0,1,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0
"Menands,+NY",,Menands,NY,16,0,3,1,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,2,1,0,0,0,0,0
"Menlo+Park,+CA",,Menlo Park,CA,221,4,41,34,0,7,12,10,4,3,4,8,0,5,20,2,27,0,10,7,2,5,5,0,3,2,6,0
"Menomonee+Falls,+WI",,Menomonee Falls,WI,44,0,5,4,1,1,2,0,1,0,0,4,0,7,5,2,1,0,5,0,1,2,0,0,1,2,0,0
"Mentor,+OH",,Mentor,OH,43,1,5,3,1,4,3,0,1,2,0,5,0,6,6,0,0,0,0,1,2,2,0,1,0,0,0,0
"Mercer+Island,+WA",,Mercer Island,WA,113,0,14,12,0,10,5,2,5,0,0,1,0,6,24,3,10,0,5,2,0,6,3,1,0,3,1,0
"Meridian,+ID",,Meridian,ID,9,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"Merion+Station,+PA",,Merion Station,PA,128,4,20,7,0,17,10,1,1,0,5,11,0,6,14,3,7,3,2,1,1,5,3,4,3,0,0,0
"Merriam,+KS",,Merriam,KS,36,1,6,5,2,2,2,1,1,2,1,1,0,1,3,6,1,0,0,0,0,0,0,0,1,0,0,0
"Mesa,+AZ",,Mesa,AZ,92,0,13,6,3,12,4,1,3,3,1,1,0,4,9,2,13,0,7,2,0,5,1,0,0,2,0,0
"Mesquite,+TX",,Mesquite,TX,132,8,25,5,0,7,12,4,5,2,0,4,0,7,16,1,6,5,5,5,0,6,5,1,3,0,0,0
"Mesquite,+NV",,Mesquite,NV,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metairie,+LA",,Metairie,LA,12,2,2,2,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Miami,+FL",,Miami,FL,67,2,9,7,0,7,3,2,1,0,1,5,0,0,7,4,1,2,6,1,1,4,2,1,0,1,0,0
"Miami+beach,+FL",,Miami beach,FL,66,2,9,7,0,7,3,2,1,0,1,5,0,0,7,4,0,2,6,1,1,4,2,1,0,1,0,0
"Miamisburg,+OH",,Miamisburg,OH,33,1,6,1,1,2,0,0,0,0,1,0,0,6,3,5,0,0,1,1,1,0,2,0,0,2,0,0
"Michigan+City,+IN",,Michigan City,IN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Middleburg,+VA",,Middleburg,VA,138,4,42,7,41,2,4,0,2,3,0,3,0,1,8,1,8,2,0,5,2,0,0,0,2,0,1,0
"Middleburg+Hts,+OH",,Middleburg Hts,OH,60,2,6,4,1,8,4,0,2,1,0,5,0,6,10,2,1,0,1,1,2,2,0,1,0,1,0,0
"Middlebury,+CT",,Middlebury,CT,28,2,3,4,0,2,3,1,0,0,1,0,0,3,3,1,1,0,1,0,1,0,1,1,0,0,0,0
"Middleton,+MA",,Middleton,MA,157,5,27,18,2,16,6,4,3,1,2,4,0,5,14,2,17,5,4,6,1,4,4,2,2,3,0,0
"Middletown,+RI",,Middletown,RI,19,0,3,2,0,2,1,1,0,1,0,1,0,1,1,0,1,0,2,1,0,0,1,1,0,0,0,0
"Middletown,+CT",,Middletown,CT,28,1,4,2,1,2,1,2,0,0,2,0,0,3,4,0,2,0,1,0,0,0,1,1,0,1,0,0
"Middletown,+PA",,Middletown,PA,12,1,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,2,0,0,0,0
"Midland,+MI",,Midland,MI,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Midway,+KY",,Midway,KY,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Midwest+City,+OK",,Midwest City,OK,28,5,2,4,2,1,0,0,0,0,0,1,0,3,2,0,1,0,2,1,0,0,1,0,3,0,0,0
"Milford,+MA",,Milford,MA,135,3,20,17,2,13,7,5,3,1,1,4,0,3,9,2,14,5,6,5,1,3,4,2,2,3,0,0
"Milford,+CT",,Milford,CT,39,2,5,5,1,3,4,2,0,1,1,0,0,2,3,2,2,1,0,0,3,0,0,2,0,0,0,0
"Milford,+MI",,Milford,MI,83,1,17,7,1,5,9,3,1,0,2,7,0,3,7,2,3,0,1,3,1,5,1,0,1,3,0,0
"Millersville,+MD",,Millersville,MD,219,6,44,9,61,10,8,1,6,3,3,6,0,2,24,4,9,3,3,2,1,5,6,1,0,2,0,0
"Millington,+TN",,Millington,TN,14,0,0,2,0,1,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0
"Milpitas,+CA",,Milpitas,CA,124,2,33,11,0,3,7,2,1,2,2,5,0,3,12,1,15,0,5,5,0,0,4,0,3,2,6,0
"Milton,+NH",,Milton,NH,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Milwaukee,+WI",,Milwaukee,WI,44,1,5,4,1,1,2,0,1,0,0,4,0,7,5,2,1,0,4,0,1,2,0,0,1,2,0,0
"Milwuakie,+OR",,Milwuakie,OR,49,1,3,11,0,3,2,3,1,3,0,0,0,2,3,0,8,1,2,3,1,1,0,0,0,1,0,0
